Tema,Título,Tese,Situação,Ramo,Relator,Processo paradigma
1440,"Incidência de Imposto de Renda Pessoa Física (IRPF) quando da opção de compra de ações de sociedade anônima por seu empregado, no regime de 'stock option plan'.","É infraconstitucional e fática a controvérsia sobre a existência de acréscimo patrimonial, tributável sob a perspectiva de renda salarial, no exercício de opção de compra de ações de sociedade anônima por seu empregado, no regime de ‘stock option plan’.",Ativo · RG negada - matéria infraconstitucional,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,ARE 1540517
1439,Possibilidade de cumulação de sanções civis e de multa inibitória (astreintes) com a penalidade administrativa prevista no Código de Trânsito Brasileiro para a infração de transportar carga com excesso de peso em rodovias federais.,"É infraconstitucional, a ela aplicando-se os efeitos da ausência de repercussão geral, a controvérsia sobre a possibilidade de cumulação de sanções civis e de multa inibitória (astreintes) com a penalidade administrativa prevista no Código de Trânsito Brasileiro para a infração de transportar carga com excesso de peso em rodovias federais.",Ativo · RG negada - matéria infraconstitucional,DIREITO PROCESSUAL CIVIL E DO TRABALHO,MINISTRO PRESIDENTE,ARE 1569089
1438,"Constitucionalidade da admissão de trabalhadores para o exercício de funções de direção, chefia e assessoramento em empresas públicas e sociedades de economia mista, independentemente de concurso público e autorização em lei específica.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO DO TRABALHO,MIN. NUNES MARQUES,RE 1493234
1437,"Inclusão dos valores de auxílio-alimentação pagos antes da Lei nº 13.416/2017 no salário de contribuição, independentemente de recolhimento de contribuição previdenciária.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,ARE 1554766
1436,Definição se a atuação da Defensoria Pública na condição de custos vulnerabilis em processos individuais de natureza penal viola as prerrogativas funcionais da própria Defensoria Pública ou do Ministério Público.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PROCESSUAL PENAL,MIN. LUIZ FUX,RE 1498445
1435,Definição se é possível a concessão de licença-maternidade a um dos homens integrantes de união homoafetiva à luz do princípio de isonomia.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. EDSON FACHIN,ARE 1498231
1434,Incidência do princípio da anterioridade nonagesimal sobre a contribuição ao Fundo Estadual de Infraestrutura do Estado de Goiás (FUNDEINFRA).,É infraconstitucional a controvérsia sobre a incidência do princípio da anterioridade nonagesimal sobre a contribuição ao Fundo Estadual de Infraestrutura do Estado de Goiás (FUNDEINFRA).,Ativo · RG negada - matéria infraconstitucional,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,ARE 1539721
1433,Legitimidade ativa de consumidor para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS.,É infraconstitucional a controvérsia sobre a legitimidade ativa de consumidor para demandar a repetição de valores cobrados em fatura de energia elétrica decorrentes da inclusão de ICMS na base de cálculo do PIS e da COFINS.,Ativo · RG negada - matéria infraconstitucional,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,ARE 1539086
1432,Legitimidade de profissionais que não têm domicílio na mesma base territorial do sindicato para executarem título judicial formado em ação coletiva ajuizada pela entidade sindical.,É infraconstitucional a controvérsia sobre a legitimidade de profissionais que não têm domicílio na mesma base territorial do sindicato executarem título judicial formado em ação coletiva ajuizada pela entidade sindical.,Ativo · RG negada - matéria infraconstitucional,DIREITO PROCESSUAL CIVIL E DO TRABALHO,MINISTRO PRESIDENTE,RE 1563850
1431,Fornecimento de transporte individual e/ou especial para pacientes que realizam tratamento médico.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO DA SAÚDE,MIN. ANDRÉ MENDONÇA,RE 1476281
1430,"Análise da Taxa de Controle de Incentivos Fiscais (TCIF) e da Taxa de Serviço (TS), com ênfase na referibilidade entre o valor da TCIF e as atividades estatais, identidade com a base de cálculo de impostos e o caráter confiscatório das cobranças.","São infraconstitucionais e fáticas as controvérsias sobre a referibilidade entre a cobrança da Taxa de Controle de Incentivos Ficais (TCIF) e da Taxa de Serviço (TS), instituídas pela Lei n° 13.451/2017, e as atividades estatais que fundamentam a sua cobrança, assim como sobre a identidade com a base de cálculo de impostos e o caráter confiscatório das cobranças.",Ativo · RG negada - matéria infraconstitucional,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,RE 1555837
1429,Preservação da coisa julgada formada antes do julgamento da ADI 2.332 quanto ao índice de juros compensatórios para remuneração pela imissão provisória na posse de bem desapropriado.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. DIAS TOFFOLI,RE 1474883
1428,"Competência do Conselho Nacional de Justiça (CNJ) para definição de parâmetros para aferição da falta de interesse de agir em execução fiscal, à luz do princípio da eficiência, nos termos do Tema 1.184/RG.",1. As providências da Resolução CNJ nº 547/2024 não usurpam nem interferem na competência tributária dos entes federativos e devem ser observadas para o processamento e a extinção de execuções fiscais com base no princípio constitucional da eficiência; 2. É infraconstitucional e fática a controvérsia sobre o atendimento das exigências da Resolução CNJ nº 547/2024 para extinção da execução fiscal por falta de interesse de agir.,Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,ARE 1553607
1427,"Possibilidade de delegação ao Poder Executivo de atribuição para fixar e alterar o valor de parcela remuneratória, à luz do inciso X do art. 37 da Constituição.","1. É inconstitucional a delegação ao Poder Executivo de atribuição para fixar e alterar o valor de parcela remuneratória, prevista no § 2º do art. 20 da Lei estadual nº 6.762/1975, com a redação dada pela Lei nº 12.984/1998, e no art. 3º do Decreto nº 46.284/2013; 2. O reconhecimento da inconstitucionalidade não autoriza decréscimo remuneratório nem a repetição de valores.",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1524795
1426,"Possibilidade, ou não, de os Estados-Membros determinarem a caça de espécies exóticas invasoras em seu território, à luz dos arts. 24, VI e 225 da Constituição Federal.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. FLÁVIO DINO,RE 1430827
1425,"Imprescritibilidade do crime de redução à condição análoga a de escravo, à luz dos compromissos internacionais assumidos pelo Brasil.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PENAL,MIN. EDSON FACHIN,RE 1562740
1424,Exigência de altura mínima para ingresso em cargos do Sistema Único de Segurança Pública.,"A exigência de altura mínima para ingresso em cargo do Sistema Único de Segurança Pública pressupõe a existência de lei e da observância dos parâmetros fixados para a carreira do exército (Lei federal nº 12.705/2012, 1,60m para homens e 1,55m para mulheres).",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,RE 1469887
1423,"Constitucionalidade da cláusula de plano de previdência complementar que exige o mesmo tempo de contribuição para homens e mulheres para recebimento do benefício integral, em face do artigo 5º, inciso I da Constituição Federal",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO CIVIL,MIN. ALEXANDRE DE MORAES,RE 1415115
1422,"Acesso inicial e direto aos níveis avançados de carreira por servidores que possuírem, no ato de investidura, a titulação acadêmica exigida por lei.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. FLÁVIO DINO,ARE 1466735
1421,"(a) Definição da competência constitucional da Justiça do Trabalho ou da Justiça Comum Federal para processar e julgar ações em que se discuta a condição de segurado do Regime Geral de Previdência Social de beneficiário de auxílio por incapacidade temporária que, mesmo após autorização do INSS e cessação do benefício, não retorna ao exercício de suas atividades laborais por decisão do empregador e (b) interpretação conforme à Constituição do art. 15, II, da Lei 8.213/1991, que define o período de graça previdenciária, na situação em que o beneficiário de auxílio por incapacidade temporária, mesmo após autorização do INSS e cessação do benefício, não retorna ao exercício de suas atividades laborais por decisão do empregador.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PREVIDENCIÁRIO,MIN. GILMAR MENDES,RE 1460766
1420,Controle pelo Poder Judiciário do ato administrativo de heteroidentificação de candidatos que concorrem às vagas reservadas a pessoas pretas e pardas em concurso público.,"1. O Poder Judiciário pode controlar o ato administrativo de heteroidentificação de candidatos que concorrem às vagas reservadas a pessoas pretas e pardas em concurso público, para garantia de contraditório e ampla defesa; 2. É fática e pressupõe a análise de cláusulas do edital do concurso a controvérsia sobre a adequação de critérios e de fundamentos do ato de exclusão de candidato por comissão de heteroidentificação.",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1553243
1419,"Incidência da Taxa SELIC, prevista no art. 3º da EC 113/2021, para a atualização de valores em qualquer discussão ou condenação da Fazenda Pública, inclusive na cobrança judicial de créditos tributários.","A taxa SELIC, prevista no art. 3º da EC 113/2021, é aplicável para a atualização de valores em qualquer discussão ou condenação da Fazenda Pública, inclusive na cobrança judicial de créditos tributários.",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO TRIBUTÁRIO,MINISTRO PRESIDENTE,ARE 1557312
1418,Possibilidade de avanço escolar e conclusão de ensino médio para fins de matrícula em curso de nível superior de estudantes do sistema regular que utilizam o sistema de Educação para Jovens e Adultos (EJA).,É infraconstitucional a controvérsia sobre a utilização do sistema de Educação para Jovens e Adultos (EJA) para progressão escolar e obtenção de certificado de conclusão do ensino médio para ingresso em curso de nível superior.,Ativo · RG negada - matéria infraconstitucional,DIREITO À EDUCAÇÃO,MINISTRO PRESIDENTE,RE 1529933
1417,"Prevalência das normas sobre o transporte aéreo em relação às normas de proteção ao consumidor para disciplinar a responsabilidade civil por cancelamento, alteração ou atraso de voo por motivo de caso fortuito ou força maior.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO DO CONSUMIDOR,MIN. DIAS TOFFOLI,ARE 1560244
1416,Enquadramento em posto inicial da carreira militar durante o período de participação em curso de formação.,"São infraconstitucionais e fáticas as controvérsias sobre o enquadramento e promoção em carreira militar, assim como sobre a natureza de curso de formação em concurso público.",Ativo · RG negada - matéria infraconstitucional,DIREITO PROCESSUAL CIVIL E DO TRABALHO,MINISTRO PRESIDENTE,ARE 1526032
1415,"Incidência da contribuição previdenciária, prevista no art. 195; I; a, da Constituição Federal, sobre as parcelas de vale-transporte e do auxílio alimentação pagas pelo empregador a partir de desconto sofrido pelo empregado.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO TRIBUTÁRIO,MIN. ANDRÉ MENDONÇA,ARE 1370843
1414,Contagem de tempo de atividade rural exercido por pessoa com menos de 12 anos à época do serviço para fins de concessão de benefício previdenciário.,É infraconstitucional e fática a controvérsia sobre o preenchimento de requisitos para o cômputo de tempo de serviço para fins de concessão de benefício previdenciário.,Ativo · RG negada - matéria infraconstitucional,DIREITO PREVIDENCIÁRIO,MINISTRO PRESIDENTE,ARE 1531515
1413,Atribuição de responsabilidade tributária ao intermediador de pagamento e/ou à plataforma de marketplace pelo ICMS incidente sobre operações com mercadorias ofertadas ou vendidas por terceiros em meio eletrônico nas hipóteses de ausência de emissão de nota fiscal obrigatória e/ou descumprimento de obrigações acessórias.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. LUIZ FUX,RE 1554371
1412,"Abrangência das medidas protetivas nas hipóteses de violência contra a mulher baseada no gênero, frente às obrigações assumidas pelo Estado brasileiro nos sistemas de proteção dos direitos humanos.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PROCESSUAL PENAL,MIN. EDSON FACHIN,ARE 1537713
1411,Violação ao direito à liberdade de crença e religião do preso frente à imposição de corte de barba ou cabelo.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. EDSON FACHIN,RE 1406564
1410,"Aplicação anual mínima em ações e serviços públicos de saúde, conforme vinculação constitucional do art. 198, §2º da Constituição Federal e do art. 77, do ADCT, em período anterior à Lei Complementar nº 141/201. Descumprimento por parte de Estado. Análise sobre a constitucionalidade da determinação judicial de compensação parcial do valor devido, à luz dos princípios da razoabilidade e da proporcionalidade.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. ALEXANDRE DE MORAES,ARE 1412406
1409,Juridicidade dos atos do Ministério da Educação sobre os requisitos e a oferta de financiamento estudantil pelo FIES.,É infraconstitucional a controvérsia sobre a juridicidade dos atos do Ministério da Educação sobre os requisitos e a oferta de financiamento estudantil pelo FIES.,Ativo · RG negada - matéria infraconstitucional,DIREITO À EDUCAÇÃO,MINISTRO PRESIDENTE,RE 1543686
1408,"Aplicação da Lei nº 14.843/2024, sobre a obrigatoriedade do exame criminológico para a progressão de regime, na execução de pena por crimes praticados antes de sua vigência.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PROCESSUAL PENAL,MIN. ANDRÉ MENDONÇA,RE 1536743
1407,Constitucionalidade da extensão do privilégio fazendário da prescrição quinquenal às pretensões contrárias aos Correios.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. LUIZ FUX,RE 790059
1406,"Usurpação da competência privativa da União, prevista no artigo 22, inciso XVI, da Constituição da República, por norma local (estadual, distrital ou municipal) que impõe condições ou restringe o exercício de determinada profissão.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MIN. LUIZ FUX,ARE 1482123
1405,"Competência da Justiça Federal para processo e julgamento de ações possessórias ajuizadas por concessionária de serviço público ferroviário, nas quais a União e as suas entidades de administração indireta manifestaram desinteresse no processo.","É infraconstitucional e fática a controvérsia sobre a competência da Justiça Federal para processo e julgamento de ações possessórias ajuizadas por concessionária de serviço público ferroviário, nas quais a União e as suas entidades de administração indireta manifestaram desinteresse no processo.",Ativo · RG negada - matéria infraconstitucional,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,MINISTRO PRESIDENTE,ARE 1550234
1404,"Provas obtidas pelo Ministério Público por requisição de relatórios de inteligência financeira ou de procedimentos fiscalizatórios da Receita, sem autorização judicial e/ou sem a prévia instauração de procedimento de investigação formal.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO PROCESSUAL PENAL,MIN. ALEXANDRE DE MORAES,RE 1537165
1403,"Direito de fiscalização da exploração econômica das obras intelectuais inseridas em plataformas digitais, com fundamento nos dispositivos constitucionais que compõem o sistema de proteção da propriedade intelectual.",,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO CIVIL,MIN. DIAS TOFFOLI,ARE 1542420
1402,"Fixação de honorários de sucumbência por equidade, nas causas que não envolvem a Fazenda Pública.","Não há questão constitucional e inexiste repercussão geral quanto a matéria relativa à possibilidade de fixação de honorários por apreciação equitativa, nas causas que não envolvem a Fazenda Pública, quando a aplicação do § 2º do art. 85 do Código de Processo Civil resultar em valor excessivo.",Ativo · RG negada - matéria infraconstitucional,DIREITO CIVIL,MIN. CÁRMEN LÚCIA,ARE 1503603
1401,Constitucionalidade da limitação do direito de compensação de prejuízos fiscais do IRPJ e da base de cálculo negativa da CSLL na hipótese de extinção da pessoa jurídica.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO TRIBUTÁRIO,MIN. ANDRÉ MENDONÇA,RE 1425640
1400,Concessão de indulto a condenado por tráfico privilegiado.,"É constitucional a concessão de indulto a condenado por tráfico privilegiado, uma vez que o crime não tem natureza hedionda.",Ativo · RG reconhecida - reafirmação de jurisprudência · Reafirmação de jurisprudência,DIREITO PENAL,MINISTRO PRESIDENTE,RE 1542482
1399,Prazo prescricional de um ano do art. 14 da Medida Provisória nº 1.039/2021 para os pedidos de auxílio emergencial.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO ASSISTENCIAL,MIN. LUÍS ROBERTO BARROSO,RE 1517308
1398,Garantia de imunidade tributária para fins de incidência de IPTU em relação a bens imóveis de estatais afetados à prestação de serviço público.,,Ativo · RG reconhecida - mérito pendente · Mérito pendente,DIREITO TRIBUTÁRIO,MIN. DIAS TOFFOLI,RE 1317330
